id,name,code
00000bb8-0000-0000-0000-000000000000,R&D Operating Budget,CC0001
00000bb9-0000-0000-0000-000000000000,Cloud Infrastructure,CC0002
00000bba-0000-0000-0000-000000000000,Software Licenses,CC0003
00000bbb-0000-0000-0000-000000000000,Data Center Facilities,CC0004
00000bbc-0000-0000-0000-000000000000,Engineering Payroll,CC0005
00000bbd-0000-0000-0000-000000000000,Recruiting & Onboarding,CC0006
00000bbe-0000-0000-0000-000000000000,Employee Training,CC0007
00000bbf-0000-0000-0000-000000000000,Travel & Entertainment,CC0008
00000bc0-0000-0000-0000-000000000000,Marketing Campaigns,CC0009
00000bc1-0000-0000-0000-000000000000,Trade Shows & Events,CC0010
00000bc2-0000-0000-0000-000000000000,Sales Commissions,CC0011
00000bc3-0000-0000-0000-000000000000,Customer Support Tooling,CC0012
00000bc4-0000-0000-0000-000000000000,Legal & Compliance,CC0013
00000bc5-0000-0000-0000-000000000000,Professional Services Fees,CC0014
00000bc6-0000-0000-0000-000000000000,Office Rent EMEA,CC0015
00000bc7-0000-0000-0000-000000000000,Office Rent Americas,CC0016
00000bc8-0000-0000-0000-000000000000,Office Rent APAC,CC0017
00000bc9-0000-0000-0000-000000000000,Utilities & Maintenance,CC0018
00000bca-0000-0000-0000-000000000000,Hardware Procurement,CC0019
00000bcb-0000-0000-0000-000000000000,Network & Telecom,CC0020
00000bcc-0000-0000-0000-000000000000,Security Operations,CC0021
00000bcd-0000-0000-0000-000000000000,Audit & Assurance,CC0022
00000bce-0000-0000-0000-000000000000,Corporate Insurance,CC0023
00000bcf-0000-0000-0000-000000000000,Executive Compensation,CC0024
00000bd0-0000-0000-0000-000000000000,Contractor Services,CC0025
00000bd1-0000-0000-0000-000000000000,Consulting Retainers,CC0026
00000bd2-0000-0000-0000-000000000000,Research Grants,CC0027
00000bd3-0000-0000-0000-000000000000,Patent & IP Filing,CC0028
00000bd4-0000-0000-0000-000000000000,Product Design,CC0029
00000bd5-0000-0000-0000-000000000000,User Research,CC0030
00000bd6-0000-0000-0000-000000000000,Content Production,CC0031
00000bd7-0000-0000-0000-000000000000,Public Relations,CC0032
00000bd8-0000-0000-0000-000000000000,Analytics Platform,CC0033
00000bd9-0000-0000-0000-000000000000,Business Intelligence,CC0034
00000bda-0000-0000-0000-000000000000,Data Governance,CC0035
00000bdb-0000-0000-0000-000000000000,Master Data Management,CC0036
00000bdc-0000-0000-0000-000000000000,Integration Services,CC0037
00000bdd-0000-0000-0000-000000000000,Payroll Processing,CC0038
00000bde-0000-0000-0000-000000000000,Benefits Administration,CC0039
00000bdf-0000-0000-0000-000000000000,Pension Contributions,CC0040
00000be0-0000-0000-0000-000000000000,Health & Wellness,CC0041
00000be1-0000-0000-0000-000000000000,Facilities Cleaning,CC0042
00000be2-0000-0000-0000-000000000000,Catering & Amenities,CC0043
00000be3-0000-0000-0000-000000000000,Fleet & Logistics,CC0044
00000be4-0000-0000-0000-000000000000,Warehouse Operations,CC0045
00000be5-0000-0000-0000-000000000000,Shipping & Handling,CC0046
00000be6-0000-0000-0000-000000000000,Vendor Management,CC0047
00000be7-0000-0000-0000-000000000000,Procurement Operations,CC0048
00000be8-0000-0000-0000-000000000000,Quality Assurance Lab,CC0049
00000be9-0000-0000-0000-000000000000,Test Automation Farm,CC0050
00000bea-0000-0000-0000-000000000000,Release Engineering,CC0051
00000beb-0000-0000-0000-000000000000,Developer Tooling,CC0052
00000bec-0000-0000-0000-000000000000,Mobile Development,CC0053
00000bed-0000-0000-0000-000000000000,Frontend Platform,CC0054
00000bee-0000-0000-0000-000000000000,Backend Platform,CC0055
00000bef-0000-0000-0000-000000000000,API Gateway,CC0056
00000bf0-0000-0000-0000-000000000000,Machine Learning Compute,CC0057
00000bf1-0000-0000-0000-000000000000,GPU Cluster,CC0058
00000bf2-0000-0000-0000-000000000000,Storage & Backup,CC0059
00000bf3-0000-0000-0000-000000000000,Disaster Recovery,CC0060
00000bf4-0000-0000-0000-000000000000,Identity Management,CC0061
00000bf5-0000-0000-0000-000000000000,Endpoint Security,CC0062
00000bf6-0000-0000-0000-000000000000,Threat Intelligence,CC0063
00000bf7-0000-0000-0000-000000000000,Incident Response,CC0064
00000bf8-0000-0000-0000-000000000000,Corporate Strategy,CC0065
00000bf9-0000-0000-0000-000000000000,Business Development,CC0066
00000bfa-0000-0000-0000-000000000000,Partnerships,CC0067
00000bfb-0000-0000-0000-000000000000,Channel Enablement,CC0068
00000bfc-0000-0000-0000-000000000000,Field Marketing,CC0069
00000bfd-0000-0000-0000-000000000000,Product Marketing,CC0070
00000bfe-0000-0000-0000-000000000000,Demand Generation,CC0071
00000bff-0000-0000-0000-000000000000,Community Programs,CC0072
00000c00-0000-0000-0000-000000000000,Localization Services,CC0073
00000c01-0000-0000-0000-000000000000,Technical Writing,CC0074
00000c02-0000-0000-0000-000000000000,Developer Relations,CC0075
00000c03-0000-0000-0000-000000000000,Design Systems,CC0076
00000c04-0000-0000-0000-000000000000,Sustainability Initiatives,CC0077
00000c05-0000-0000-0000-000000000000,CSR Programs,CC0078
00000c06-0000-0000-0000-000000000000,Diversity & Inclusion,CC0079
00000c07-0000-0000-0000-000000000000,Workplace Experience,CC0080
00000c08-0000-0000-0000-000000000000,Program Management Office,CC0081
00000c09-0000-0000-0000-000000000000,Portfolio Governance,CC0082
00000c0a-0000-0000-0000-000000000000,Risk Management,CC0083
00000c0b-0000-0000-0000-000000000000,Internal Communications,CC0084
00000c0c-0000-0000-0000-000000000000,Investor Relations,CC0085
00000c0d-0000-0000-0000-000000000000,Corporate Finance,CC0086
00000c0e-0000-0000-0000-000000000000,Treasury Operations,CC0087
00000c0f-0000-0000-0000-000000000000,Tax Compliance,CC0088
00000c10-0000-0000-0000-000000000000,Accounts Payable,CC0089
00000c11-0000-0000-0000-000000000000,Accounts Receivable,CC0090
00000c12-0000-0000-0000-000000000000,Financial Reporting,CC0091
00000c13-0000-0000-0000-000000000000,Budgeting & Forecasting,CC0092
00000c14-0000-0000-0000-000000000000,Enterprise Architecture,CC0093
00000c15-0000-0000-0000-000000000000,Cloud Cost Optimization,CC0094
00000c16-0000-0000-0000-000000000000,Site Reliability,CC0095
00000c17-0000-0000-0000-000000000000,Observability Platform,CC0096
00000c18-0000-0000-0000-000000000000,Data Engineering,CC0097
00000c19-0000-0000-0000-000000000000,Reporting & Insights,CC0098
00000c1a-0000-0000-0000-000000000000,Innovation Lab,CC0099
00000c1b-0000-0000-0000-000000000000,Executive Office,CC0100
